organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,metal_a_type,metal_a_concentration,metal_b_type,metal_molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
23.0,2.9000000432133675,35.0,30.0,10.0,20.0,5.0,10.0,12.0,3.0,2.0,0.7050675954066705,0.9406119228328345,0.8578589382786987,2025-12-05-09:05:52
23.0,2.8000000417232513,35.0,29.0,9.0,20.0,5.0,10.0,12.0,6.0,3.0,0.7683871480914085,0.9702278673648834,0.9557549003511667,2025-12-05-09:05:52
30.0,2.9000000432133675,35.0,30.0,7.5,20.0,16.0,10.0,12.0,3.0,2.0,0.7665943206893852,0.9704330172389746,0.9717685666875653,2025-12-05-09:05:52
23.0,2.0000000298023224,35.0,24.0,9.0,10.0,4.0,10.0,12.0,1.0,3.0,0.7505989362434594,0.8707235261732135,0.7929825267504194,2025-12-05-09:05:52
27.0,2.2000000327825546,35.0,23.0,8.0,15.0,6.0,10.0,10.0,5.0,3.0,0.9447051455997418,0.9311378300189972,0.9651342030113172,2025-12-05-09:07:40
22.0,2.400000035762787,35.0,22.0,6.0,15.0,5.0,10.0,14.0,5.0,3.0,0.8006601738104945,0.9592214561998844,0.8106921749107575,2025-12-05-09:07:40
27.0,2.400000035762787,35.0,28.0,8.0,20.0,6.0,10.0,9.0,4.0,2.0,0.8972796495804772,0.9743108376860619,0.8667135964785304,2025-12-05-09:07:40
27.0,2.500000037252903,35.0,26.0,10.0,20.0,5.0,10.0,8.0,6.0,3.0,0.9271625963747873,1.0125312495906231,0.909675408684143,2025-12-05-09:07:40
22.0,2.3000000342726707,35.0,18.0,4.0,15.0,5.0,10.0,16.0,4.0,2.0,0.7345029238832038,0.7791435254817997,0.7252661869727542,2025-12-05-09:07:40
27.0,2.1000000312924385,35.0,26.0,8.0,15.0,2.0,10.0,13.0,6.0,3.0,0.9169150207792757,0.9343033134937286,0.8453990901412448,2025-12-05-09:09:16
27.0,2.7000000402331352,35.0,29.0,8.0,10.0,9.0,10.0,10.0,5.0,3.0,0.9204716087825527,0.9291975832960379,0.9283773133816786,2025-12-05-09:09:16
27.0,3.300000049173832,35.0,30.0,9.0,15.0,13.0,10.0,12.0,6.0,3.0,0.9202283105805654,0.9762432936399228,0.9142408177878372,2025-12-05-09:09:16
27.0,0.6000000089406967,35.0,28.0,8.0,20.0,3.0,10.0,13.0,5.0,3.0,0.797021861267846,0.9268505796790123,0.8781628871699955,2025-12-05-09:09:16
27.0,2.500000037252903,35.0,7.0,8.0,10.0,1.0,10.0,13.0,7.0,3.0,0.8549465180778877,0.7941375832602751,0.8341048260705568,2025-12-05-09:09:16
27.0,2.600000038743019,35.0,15.0,8.5,15.0,11.0,10.0,7.0,4.0,2.0,0.8472989489990563,0.892347286142962,0.9126774596258517,2025-12-05-09:10:38
27.0,2.9000000432133675,35.0,15.0,8.5,15.0,14.0,10.0,17.0,5.0,3.0,0.8985070072279723,0.9460072869416641,0.9636140365956988,2025-12-05-09:10:38
27.0,2.600000038743019,35.0,24.0,8.0,20.0,16.0,10.0,7.0,4.0,2.0,0.8985881030026168,0.9418491795659065,1.0020820179717131,2025-12-05-09:10:38
27.0,2.9000000432133675,35.0,19.0,9.0,15.0,18.0,20.0,12.0,6.0,3.0,0.9087049663054796,0.9146179678172416,0.8295625268711186,2025-12-05-09:10:38
22.0,2.7000000402331352,35.0,30.0,6.0,20.0,4.0,10.0,15.0,6.0,3.0,0.8144860545441567,0.9593466259539127,0.8567732500425513,2025-12-05-09:10:38
22.0,2.7000000402331352,35.0,30.0,6.0,20.0,15.0,10.0,16.0,5.0,3.0,0.8148860545441567,0.9416214525699615,0.8877666387374485,2025-12-05-09:12:04
27.0,2.7000000402331352,35.0,24.0,8.0,20.0,4.0,10.0,7.0,4.0,3.0,0.9411793152508071,0.9829376898705959,0.9649832425639033,2025-12-05-09:12:04
28.0,2.500000037252903,35.0,30.0,8.0,25.0,14.0,10.0,6.0,4.0,2.0,0.8711755662654248,0.9918192392215133,0.9351547141553213,2025-12-05-09:12:04
21.0,2.9000000432133675,35.0,24.0,5.5,20.0,4.0,10.0,10.0,3.0,2.0,0.8127136518537221,0.8540869464481353,0.7621315049655506,2025-12-05-09:12:04
27.0,2.9000000432133675,35.0,26.0,8.5,25.0,16.0,10.0,17.0,3.0,2.0,0.925964263803944,0.9577670879662037,0.9078768240263158,2025-12-05-09:12:04
27.0,2.3000000342726707,35.0,24.0,8.0,20.0,10.0,10.0,7.0,4.0,3.0,0.9637495048652639,0.9838995318859816,1.0284857684746385,2025-12-05-09:13:18
27.0,3.6000000536441803,35.0,30.0,9.5,20.0,9.0,10.0,10.0,6.0,3.0,0.9316101203929645,0.9500567130744457,0.9483640120004706,2025-12-05-09:13:18
27.0,2.400000035762787,35.0,28.0,8.0,20.0,12.0,10.0,7.0,4.0,3.0,0.9471996503255353,0.9352494552731514,0.8919104503249909,2025-12-05-09:13:18
27.0,2.2000000327825546,35.0,22.0,10.0,20.0,1.0,10.0,11.0,4.0,3.0,0.9532902295856667,0.944105577493417,0.982769638299942,2025-12-05-09:13:18
21.0,3.400000050663948,35.0,19.0,6.0,15.0,17.0,10.0,14.0,4.0,3.0,0.8009001726062281,0.9693412259221077,0.941459026373355,2025-12-05-09:13:18
27.0,3.0000000447034836,35.0,30.0,9.0,25.0,12.0,10.0,8.0,4.0,3.0,0.9743305955967893,0.9872578270733356,0.9792223740369081,2025-12-05-09:14:35
27.0,3.7000000551342964,35.0,30.0,8.0,25.0,2.0,10.0,6.0,3.0,3.0,0.9238366138793467,0.9523583278059959,0.9572985566905823,2025-12-05-09:14:35
27.0,2.3000000342726707,35.0,27.0,10.0,25.0,17.0,10.0,11.0,4.0,3.0,0.9462147987245072,1.004415993578732,0.9037021338298052,2025-12-05-09:14:35
27.0,3.9000000581145287,30.0,29.0,9.0,20.0,15.0,10.0,12.0,4.0,3.0,0.7918111231754269,0.961290483554656,0.9593044705688953,2025-12-05-09:14:35
27.0,3.400000050663948,35.0,30.0,8.0,25.0,18.0,10.0,7.0,3.0,3.0,0.9630300435828021,0.9886352252215147,0.9666813770160761,2025-12-05-09:14:35
30.0,4.000000059604645,35.0,22.0,7.5,25.0,20.0,10.0,6.0,5.0,3.0,0.8713615261818769,0.9496015571057796,0.8824608566647943,2025-12-05-09:16:07
26.0,4.400000065565109,35.0,20.0,9.0,20.0,13.0,10.0,14.0,4.0,3.0,0.9076129761235221,0.9205111637711525,0.8740487872915349,2025-12-05-09:16:07
30.0,4.100000061094761,35.0,13.0,8.5,20.0,4.0,10.0,8.0,3.0,3.0,0.8472362265549478,0.987534356303513,0.8712947070188448,2025-12-05-09:16:07
30.0,3.8000000566244125,35.0,26.0,7.0,30.0,20.0,10.0,1.0,6.0,3.0,0.8791164289388356,0.958411707432288,0.962674300186336,2025-12-05-09:16:07
30.0,3.7000000551342964,35.0,17.0,7.0,30.0,18.0,10.0,7.0,4.0,3.0,0.8351375014858688,0.9452524131655873,0.904341096356105,2025-12-05-09:16:07
28.0,2.500000037252903,35.0,26.0,7.0,25.0,18.0,10.0,1.0,6.0,3.0,0.9383234695134965,0.9870747281238437,0.9679869003593922,2025-12-05-09:17:54
27.0,4.400000065565109,35.0,30.0,8.0,30.0,20.0,10.0,3.0,6.0,3.0,0.871346367008237,0.9265465661883354,0.922097001010756,2025-12-05-09:17:54
22.0,2.9000000432133675,35.0,30.0,6.0,15.0,13.0,10.0,16.0,4.0,3.0,0.8036402925756784,0.9651426896452904,0.9532805955319182,2025-12-05-09:17:54
27.0,4.100000061094761,35.0,28.0,10.0,30.0,20.0,10.0,5.0,1.0,3.0,0.9016783226190411,0.9978819324169308,0.9102890837826385,2025-12-05-09:17:54
27.0,2.500000037252903,35.0,6.0,8.5,25.0,16.0,10.0,5.0,6.0,3.0,0.9221813916194811,0.9325895011425018,0.9265979979995672,2025-12-05-09:17:54
28.0,2.7000000402331352,35.0,26.0,8.0,20.0,19.0,10.0,1.0,2.0,3.0,0.8781850711255401,0.9941548779606819,0.9085159636308663,2025-12-05-09:19:36
29.0,2.400000035762787,35.0,25.0,6.0,25.0,14.0,10.0,4.0,9.0,3.0,0.8116263692743958,0.9458528827792589,0.8934449008582319,2025-12-05-09:19:36
27.0,3.500000052154064,35.0,25.0,9.5,30.0,1.0,10.0,7.0,2.0,3.0,0.9657009286247066,0.985308213159442,1.019894452765584,2025-12-05-09:19:36
28.0,2.600000038743019,35.0,25.0,8.0,25.0,20.0,10.0,3.0,1.0,3.0,0.9155246564913192,0.9365214854478836,0.9439840568229556,2025-12-05-09:19:36
29.0,2.1000000312924385,40.0,28.0,6.0,20.0,18.0,10.0,0.0,8.0,3.0,0.9487252546172366,0.914046374227423,0.9497357892860882,2025-12-05-09:19:36
28.0,3.400000050663948,35.0,25.0,8.0,25.0,20.0,10.0,2.0,4.0,3.0,0.8583633339543572,0.9292876943945885,1.0105422753840685,2025-12-05-09:21:35
28.0,2.400000035762787,35.0,25.0,8.0,20.0,20.0,10.0,4.0,3.0,3.0,0.9225823778348565,0.9398345053195953,0.9304762126140776,2025-12-05-09:21:35
28.0,2.7000000402331352,35.0,25.0,8.0,25.0,1.0,10.0,0.0,5.0,3.0,0.9217074014323086,0.9615578837692738,1.0256150588393211,2025-12-05-09:21:35
27.0,3.7000000551342964,35.0,30.0,10.0,30.0,20.0,10.0,7.0,3.0,3.0,0.9517906243504523,0.9812486600130796,0.9356171321123838,2025-12-05-09:21:35
28.0,4.400000065565109,40.0,24.0,8.0,10.0,20.0,10.0,0.0,5.0,3.0,0.8413121630516993,0.9581199549138546,0.8896658940551582,2025-12-05-09:21:35
30.0,2.3000000342726707,35.0,24.0,9.0,25.0,1.0,10.0,0.0,5.0,3.0,0.7932654494296456,0.9328394308686256,0.9575015059672296,2025-12-05-09:27:06
27.0,2.9000000432133675,35.0,30.0,8.0,30.0,20.0,10.0,5.0,1.0,3.0,0.9247817415094227,1.0117754563689232,0.9019350731950804,2025-12-05-09:27:06
30.0,2.400000035762787,35.0,24.0,9.0,25.0,12.0,10.0,5.0,7.0,3.0,0.7850684314406599,0.9251123517751694,0.9620721135288477,2025-12-05-09:27:06
30.0,4.200000062584877,40.0,24.0,9.0,25.0,1.0,10.0,0.0,10.0,3.0,0.8472776987661627,0.9283343777060509,0.9892012756317854,2025-12-05-09:27:06
27.0,2.500000037252903,35.0,30.0,10.0,25.0,19.0,10.0,2.0,1.0,3.0,0.9819153223210945,0.9776868224143982,1.0016083400696516,2025-12-05-09:27:06
27.0,2.500000037252903,35.0,25.0,10.0,25.0,1.0,10.0,0.0,5.0,3.0,0.9085333297121897,0.9836463993415236,0.9487260210789675,2025-12-05-09:31:24
27.0,2.7000000402331352,35.0,30.0,8.0,30.0,20.0,10.0,0.0,1.0,3.0,0.9115145087988605,0.9441346563398838,0.9194093901482029,2025-12-05-09:31:24
30.0,5.0,35.0,24.0,9.0,15.0,1.0,10.0,0.0,9.0,3.0,0.8933087230174777,0.9744429740269651,0.8876000480434506,2025-12-05-09:31:24
27.0,2.600000038743019,35.0,30.0,10.0,30.0,20.0,10.0,0.0,1.0,3.0,0.9702373442986696,0.9677294101566076,0.9799632094800472,2025-12-05-09:31:24
27.0,2.600000038743019,35.0,24.0,10.0,25.0,1.0,10.0,0.0,10.0,3.0,0.9660657023772686,0.9911203496158123,1.0065715070813894,2025-12-05-09:31:24
27.0,2.500000037252903,35.0,25.0,10.0,25.0,1.0,20.0,0.0,5.0,3.0,0.9831108132513239,0.9637323785573244,0.9016077665229077,2025-12-05-09:35:43
27.0,2.600000038743019,35.0,24.0,10.0,30.0,1.0,10.0,4.0,10.0,3.0,0.9667364076138377,0.9264328591525555,0.975884004496038,2025-12-05-09:35:43
27.0,2.8000000417232513,35.0,30.0,8.0,30.0,19.0,10.0,2.0,1.0,3.0,0.9685773878096723,0.9937695469707251,0.9111375094151302,2025-12-05-09:35:43
27.0,2.600000038743019,35.0,30.0,8.0,25.0,5.0,10.0,6.0,1.0,3.0,0.9643352323383182,0.9889447521418333,0.9416954537809576,2025-12-05-09:35:43
27.0,2.7000000402331352,35.0,30.0,10.0,25.0,20.0,10.0,0.0,1.0,3.0,0.936941183924817,0.9974950242321938,0.9800623841583729,2025-12-05-09:35:43
27.0,2.600000038743019,35.0,28.0,10.0,30.0,1.0,20.0,3.0,7.0,3.0,0.9582954468029825,1.0210643885657191,0.9021547237954837,2025-12-05-09:38:54
27.0,2.8000000417232513,35.0,30.0,8.0,30.0,4.0,20.0,5.0,4.0,3.0,0.950331478886225,0.9563216925598681,0.9151166213846011,2025-12-05-09:38:54
27.0,2.600000038743019,35.0,23.0,10.0,25.0,1.0,10.0,3.0,1.0,3.0,0.9667479202425567,0.9666082039475441,0.994385817553848,2025-12-05-09:38:54
30.0,5.0,35.0,24.0,9.0,15.0,4.0,10.0,0.0,10.0,3.0,0.9449234592067238,0.988210255198533,0.9072309823528886,2025-12-05-09:38:54
27.0,2.7000000402331352,35.0,30.0,10.0,30.0,20.0,10.0,3.0,10.0,3.0,1.0013721922291745,0.9942243341356516,0.990655998699367,2025-12-05-09:38:54
27.0,2.7000000402331352,35.0,26.0,10.0,30.0,2.0,10.0,0.0,10.0,3.0,0.9402115277651999,0.979510735720396,0.9029192020373977,2025-12-05-09:41:33
30.0,5.0,35.0,26.0,9.0,20.0,12.0,20.0,0.0,10.0,3.0,0.9380283596472972,0.9635840207338333,0.9000689990043342,2025-12-05-09:41:33
27.0,2.3000000342726707,35.0,30.0,10.0,30.0,3.0,20.0,5.0,10.0,3.0,0.990145041027819,0.9579475186765194,0.9756676610559225,2025-12-05-09:41:33
27.0,3.0000000447034836,35.0,30.0,10.0,20.0,20.0,10.0,0.0,10.0,3.0,0.9010073744801272,0.9644292593002319,0.944856978074753,2025-12-05-09:41:33
30.0,5.0,35.0,23.0,9.0,10.0,20.0,10.0,0.0,10.0,3.0,0.941989068900847,0.9616159392312708,0.8611252612335388,2025-12-05-09:41:33
27.0,2.2000000327825546,35.0,25.0,10.0,30.0,1.0,20.0,5.0,1.0,3.0,0.9730111870693158,0.9743635077029467,0.9302803956670687,2025-12-05-09:46:53
30.0,5.0,35.0,25.0,9.0,25.0,1.0,20.0,0.0,1.0,3.0,0.9789609206323856,0.9680157210677862,0.9336360529996455,2025-12-05-09:46:53
27.0,2.9000000432133675,35.0,30.0,10.0,30.0,20.0,10.0,7.0,1.0,3.0,0.9363046876752227,0.948103035800159,0.9449363297317177,2025-12-05-09:46:53
28.0,1.600000023841858,40.0,24.0,8.0,30.0,1.0,10.0,0.0,1.0,3.0,0.9209774438306758,0.9872164906830553,0.9171509080461294,2025-12-05-09:46:53
27.0,2.3000000342726707,35.0,30.0,10.0,25.0,2.0,20.0,7.0,10.0,3.0,0.9917116404790478,0.9982153289020061,0.9327085521072149,2025-12-05-09:46:53
27.0,2.1000000312924385,35.0,25.0,10.0,30.0,1.0,20.0,5.0,1.0,3.0,0.9475153151499269,0.9999937601387501,1.0005045644938946,2025-12-05-09:49:31
27.0,3.0000000447034836,35.0,30.0,10.0,30.0,20.0,10.0,8.0,1.0,3.0,0.956432368434428,0.9707311820238829,0.9944294653832912,2025-12-05-09:49:31
30.0,5.0,35.0,24.0,9.0,20.0,1.0,10.0,0.0,1.0,3.0,0.9749897774382469,0.991046043112874,0.9825432561337948,2025-12-05-09:49:31
22.0,1.700000025331974,35.0,30.0,6.0,30.0,4.0,20.0,8.0,10.0,3.0,0.9165968836435927,0.9444974139332771,0.949180744059328,2025-12-05-09:49:31
30.0,2.2000000327825546,35.0,28.0,9.0,25.0,1.0,20.0,0.0,9.0,2.0,0.7415868476154589,0.9233829528093338,0.8893592202793688,2025-12-05-09:49:31
27.0,3.200000047683716,35.0,26.0,10.0,25.0,12.0,20.0,8.0,8.0,3.0,0.8899951023616616,1.0039760589133948,0.8816812399945011,2025-12-05-09:56:18
30.0,5.0,35.0,24.0,9.0,25.0,1.0,10.0,0.0,1.0,3.0,0.9837886154352661,0.938670008443296,0.9880408141762018,2025-12-05-09:56:18
21.0,1.2000000178813934,30.0,30.0,7.0,30.0,11.0,20.0,6.0,8.0,3.0,0.9038579462159819,0.9334290495036965,0.8314865379835102,2025-12-05-09:56:18
21.0,1.4000000208616257,40.0,29.0,7.0,30.0,1.0,20.0,0.0,7.0,3.0,0.8154617864881583,0.9843906266614795,0.9210787320392765,2025-12-05-09:56:18
22.0,3.0000000447034836,30.0,30.0,6.0,30.0,1.0,20.0,6.0,7.0,3.0,0.7374244841786626,0.9086528828865474,0.9111448857449926,2025-12-05-09:56:18
27.0,2.3000000342726707,35.0,25.0,10.0,25.0,1.0,10.0,4.0,1.0,3.0,0.9033587844605792,1.0254043242894113,0.9531223643298757,2025-12-05-09:59:32
30.0,5.0,35.0,25.0,9.0,25.0,1.0,10.0,0.0,1.0,3.0,0.9736908020823235,0.9995672963559628,0.9571779668331146,2025-12-05-09:59:32
27.0,2.3000000342726707,35.0,30.0,8.0,25.0,1.0,10.0,4.0,3.0,3.0,0.9871698999080111,0.9702916108071804,0.9799609133372393,2025-12-05-09:59:32
21.0,0.6000000089406967,35.0,30.0,7.0,30.0,1.0,10.0,2.0,1.0,3.0,0.8194909712681303,0.905652412611264,0.832568002927992,2025-12-05-09:59:32
30.0,5.0,35.0,30.0,7.0,25.0,1.0,10.0,0.0,1.0,3.0,0.9698471495061154,0.9937598314136267,0.9234731538861125,2025-12-05-09:59:32
30.0,5.0,35.0,22.0,9.0,25.0,1.0,10.0,0.0,1.0,3.0,0.9614360997675891,1.0128517425619066,0.9469881060535992,2025-12-05-10:01:06
27.0,2.7000000402331352,35.0,28.0,10.0,25.0,1.0,10.0,5.0,1.0,3.0,0.9358923487658728,0.9908195436000824,0.9461016214988318,2025-12-05-10:01:06
27.0,2.7000000402331352,35.0,25.0,8.5,25.0,1.0,10.0,4.0,1.0,3.0,0.9500530869443644,1.0142827406525612,0.9354951670393348,2025-12-05-10:01:06
28.0,1.8000000268220901,40.0,23.0,8.0,30.0,1.0,20.0,3.0,1.0,3.0,0.9399043321886931,0.9735062181940141,0.9234596316124848,2025-12-05-10:01:06
27.0,3.0000000447034836,35.0,30.0,8.0,25.0,7.0,10.0,6.0,1.0,3.0,0.9127793563250293,0.9863828879315406,0.9246265858591285,2025-12-05-10:01:06
30.0,5.0,35.0,25.0,9.0,15.0,1.0,10.0,0.0,1.0,3.0,0.9084224990754362,0.9646419029540365,0.9081997537272056,2025-12-05-10:01:57
27.0,2.7000000402331352,35.0,27.0,10.0,25.0,1.0,10.0,5.0,1.0,3.0,0.9148483277852764,0.9284069868735969,0.9184176296432941,2025-12-05-10:01:57
27.0,3.0000000447034836,35.0,30.0,8.0,25.0,1.0,10.0,5.0,1.0,3.0,0.957250652789234,0.9351272564381361,0.9385846208608832,2025-12-05-10:01:57
27.0,2.2000000327825546,30.0,24.0,10.0,30.0,1.0,10.0,5.0,1.0,3.0,0.9310979296285661,0.923050656914711,0.9558320380747318,2025-12-05-10:01:57
27.0,3.0000000447034836,35.0,30.0,10.0,25.0,20.0,10.0,6.0,1.0,3.0,0.9504052746198165,0.9897590093314648,0.9537821281701326,2025-12-05-10:01:57
27.0,2.7000000402331352,35.0,26.0,10.0,30.0,5.0,20.0,4.0,1.0,3.0,0.9529025720162618,1.02229196310509,0.929784100200478,2025-12-05-10:06:16
27.0,2.600000038743019,35.0,30.0,10.0,30.0,20.0,10.0,6.0,1.0,3.0,0.954670798795232,1.0062109641730785,0.9852845028508455,2025-12-05-10:06:16
27.0,2.8000000417232513,35.0,30.0,8.0,30.0,5.0,20.0,3.0,1.0,3.0,0.9385765122231029,1.0241672564297915,0.925147544151525,2025-12-05-10:06:16
27.0,2.9000000432133675,35.0,26.0,10.0,15.0,1.0,20.0,0.0,1.0,3.0,0.938027964650005,0.9330180542013449,0.9261156693100929,2025-12-05-10:06:16
29.0,5.0,35.0,24.0,6.0,30.0,1.0,10.0,0.0,10.0,3.0,0.930796454866169,0.9813129957765341,0.9179827655009861,2025-12-05-10:06:16
27.0,2.8000000417232513,35.0,26.0,10.0,30.0,8.0,10.0,4.0,1.0,3.0,0.9792550390776179,1.0250431483145803,0.9703721244674361,2025-12-05-10:11:56
27.0,2.8000000417232513,35.0,30.0,10.0,15.0,20.0,10.0,0.0,1.0,3.0,0.9478089482160591,0.8754463989052577,0.8747493841436206,2025-12-05-10:11:56
30.0,5.0,35.0,24.0,9.0,30.0,20.0,10.0,0.0,10.0,3.0,0.9482961669564247,1.0020291395485401,0.9928732253611088,2025-12-05-10:11:56
27.0,2.8000000417232513,35.0,30.0,8.0,30.0,5.0,10.0,4.0,3.0,3.0,0.9276697978743099,0.9882594137452543,0.9290522363120122,2025-12-05-10:11:56
28.0,2.7000000402331352,35.0,25.0,8.0,30.0,1.0,10.0,6.0,10.0,3.0,0.9094680671825885,0.9861763333901763,0.9530675312612142,2025-12-05-10:11:56
27.0,3.0000000447034836,35.0,23.0,10.0,30.0,10.0,10.0,6.0,5.0,3.0,0.9772298279172767,0.970016261562705,0.9949088690108745,2025-12-05-10:15:41
27.0,2.9000000432133675,35.0,25.0,8.5,30.0,2.0,10.0,5.0,10.0,3.0,0.9375400115901082,1.0231644678860903,0.9978121710009873,2025-12-05-10:15:41
30.0,5.0,40.0,23.0,9.0,20.0,20.0,10.0,0.0,10.0,3.0,0.8944448287213014,0.9904005620628595,0.9949962832033634,2025-12-05-10:15:41
30.0,5.0,35.0,27.0,7.0,20.0,20.0,50.0,0.0,10.0,3.0,0.9667337810837264,1.031629027449526,0.9371638925387374,2025-12-05-10:15:41
27.0,3.0000000447034836,35.0,19.0,10.0,25.0,20.0,10.0,6.0,1.0,3.0,0.9385228668502558,0.9517459869384766,0.889129365263557,2025-12-05-10:15:41
27.0,1.8000000268220901,35.0,28.0,10.0,30.0,11.0,10.0,5.0,5.0,2.0,0.912543677627052,0.9359286576509476,0.8722934764468474,2025-12-05-10:17:56
27.0,3.7000000551342964,35.0,26.0,10.0,30.0,19.0,10.0,9.0,10.0,3.0,0.9311934906868575,0.9605592265725136,0.9764887501605786,2025-12-05-10:17:56
30.0,5.0,40.0,30.0,7.0,15.0,20.0,40.0,0.0,1.0,3.0,0.8716313242165161,0.9424762278795242,0.9631949434988201,2025-12-05-10:17:56
27.0,1.5000000223517418,35.0,30.0,8.0,30.0,1.0,10.0,3.0,5.0,2.0,0.8817732464750182,0.9370958018887626,0.842387983514945,2025-12-05-10:17:56
30.0,5.0,35.0,30.0,9.0,20.0,20.0,40.0,0.0,2.0,3.0,0.9733802302983072,0.9801663186226506,0.9949091031448916,2025-12-05-10:17:56
27.0,3.8000000566244125,35.0,28.0,10.0,25.0,1.0,10.0,4.0,10.0,3.0,0.9186593394992293,0.9559371098876,0.9666191240022268,2025-12-05-10:30:40
29.0,2.600000038743019,40.0,27.0,5.5,25.0,1.0,30.0,7.0,1.0,3.0,0.9501809574908271,0.9371334463357925,1.0383084515342489,2025-12-05-10:30:40
