formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
24.0,5.0,30.0,29.0,6.0,15.0,1.0,10.0,7.0,2.0,1.0,0.8428338007139139,0.9593551754951477,0.8392944540538836,2025-12-04-10:38:34
25.0,5.0,35.0,27.0,6.0,20.0,1.0,20.0,8.0,1.0,2.0,0.8939228679490103,0.9761531595140696,0.9407141327186409,2025-12-04-10:38:34
23.0,5.0,30.0,30.0,10.0,20.0,1.0,10.0,6.0,3.0,1.0,0.9144872648084537,0.8774380529377265,0.8469189378897783,2025-12-04-10:38:34
24.0,5.0,30.0,22.0,6.0,20.0,9.0,10.0,20.0,3.0,1.0,0.8366338007139139,0.9534044191241264,0.785488752237952,2025-12-04-10:38:34
24.0,5.0,30.0,30.0,6.0,20.0,1.0,30.0,7.0,1.0,1.0,0.8651538007139138,0.9510280825197697,0.8261659984756793,2025-12-04-10:38:34
24.0,4.90000007301569,35.0,27.0,6.0,20.0,1.0,30.0,6.0,1.0,1.0,0.9038543032985824,0.9852791372976631,0.8871802298884575,2025-12-04-10:39:46
23.0,5.0,30.0,19.0,8.0,20.0,1.0,10.0,7.0,1.0,1.0,0.8694472648084538,0.8893498290264673,0.8796701710420319,2025-12-04-10:39:46
23.0,4.300000064074993,30.0,30.0,8.5,20.0,3.0,30.0,8.0,1.0,1.0,0.8709176233119654,0.9178492416306901,0.9673744840632731,2025-12-04-10:39:46
23.0,5.0,30.0,27.0,8.0,20.0,1.0,10.0,20.0,1.0,3.0,0.9429272655535118,0.9498887993395329,0.8312669888987839,2025-12-04-10:39:46
18.0,5.0,35.0,29.0,7.0,20.0,1.0,10.0,6.0,2.0,2.0,0.8784872648084536,0.9861423587426543,0.8339448921797955,2025-12-04-10:39:46
18.0,5.0,35.0,28.0,7.0,15.0,2.0,30.0,6.0,1.0,1.0,0.8650072648084537,0.9954486847855151,0.8467643688728856,2025-12-04-10:41:22
23.0,5.0,30.0,30.0,8.0,20.0,1.0,10.0,16.0,1.0,3.0,0.9340805440420286,0.9765376625582576,0.950908238068223,2025-12-04-10:41:22
24.0,5.0,35.0,29.0,6.0,20.0,13.0,30.0,7.0,1.0,1.0,0.905482603819679,0.9362412840127945,0.8174890526267586,2025-12-04-10:41:22
25.0,5.0,35.0,22.0,5.5,20.0,4.0,30.0,10.0,1.0,2.0,0.8781628679490103,0.9097669459295749,0.8402294650865807,2025-12-04-10:41:22
30.0,5.0,30.0,30.0,7.0,20.0,7.0,10.0,20.0,5.0,1.0,0.9249389036672576,0.9586516879498959,0.9544541233896011,2025-12-04-10:41:22
30.0,5.0,35.0,29.0,8.5,15.0,1.0,20.0,11.0,1.0,2.0,0.9428114091300006,0.9383891150355339,1.010150719434023,2025-12-04-10:44:16
19.0,5.0,40.0,27.0,7.0,15.0,1.0,20.0,7.0,1.0,3.0,0.9233226045647371,0.9718785379081964,0.8501916541396459,2025-12-04-10:44:16
23.0,5.0,30.0,30.0,8.0,20.0,1.0,10.0,20.0,1.0,3.0,0.9130191844243184,0.9777087774127722,0.9676370117813349,2025-12-04-10:44:16
30.0,5.0,25.0,30.0,7.0,20.0,1.0,10.0,20.0,6.0,1.0,0.7931589378897782,0.9838519059121609,0.9386149668853276,2025-12-04-10:44:16
25.0,4.200000062584877,40.0,28.0,6.0,15.0,1.0,40.0,7.0,1.0,1.0,0.8151259514071902,0.9647362232208252,0.8256441759772977,2025-12-04-10:44:16
30.0,5.0,35.0,30.0,8.5,10.0,1.0,10.0,12.0,1.0,2.0,0.9103490681557889,0.9290871617344895,0.8118091561396904,2025-12-04-10:45:15
13.0,5.0,30.0,29.0,5.0,15.0,1.0,10.0,20.0,3.0,1.0,0.6298145338676334,0.9835554230958223,0.7061460104219993,2025-12-04-10:45:15
30.0,5.0,35.0,28.0,7.0,30.0,1.0,10.0,20.0,5.0,1.0,0.9418176315860981,0.9798925931614815,0.9605767652392387,2025-12-04-10:45:15
30.0,5.0,35.0,27.0,7.5,10.0,1.0,10.0,20.0,8.0,1.0,0.9192870093273158,0.9136763225762546,0.9435336708283962,2025-12-04-10:45:15
30.0,4.000000059604645,35.0,30.0,8.5,25.0,1.0,20.0,12.0,1.0,3.0,0.9414575921370391,0.9219948053359985,1.0163267441093922,2025-12-04-10:45:15
