formula,concentration,temperature,soak_time,ph,curing_time,metal_a_type,metal_a_concentration,metal_b_type,molar_ratio_b_a,experiment_condition,Uniformity,Coverage,Adhesion,Timestamp
1.0,1.0000000149011612,40.0,1.0,6.0,25.0,1.0,50.0,0.0,10.0,2.0,1.0,0.9478086121380329,1.0159513242542744,2025-12-01-16:42:01
1.0,4.000000059604645,25.0,27.0,6.0,10.0,1.0,50.0,0.0,7.0,1.0,1.0,0.9952117917127907,1.0242171175777912,2025-12-01-16:42:09
24.0,0.6000000089406967,35.0,1.0,4.0,30.0,20.0,10.0,12.0,3.0,2.0,1.0,0.9937818464823067,1.0385564751923084,2025-12-01-16:42:09
19.0,0.7000000104308128,40.0,1.0,7.0,30.0,1.0,10.0,12.0,2.0,2.0,1.0,0.9397972263395786,1.0031562149524689,2025-12-01-16:42:09
1.0,0.10000000149011612,35.0,1.0,6.0,20.0,20.0,10.0,11.0,10.0,3.0,1.0,0.9065184891223907,1.0799169465899467,2025-12-01-16:42:16
30.0,2.7000000402331352,35.0,1.0,7.0,20.0,1.0,20.0,14.0,1.0,1.0,1.0,0.9421673938632011,1.0664787366986275,2025-12-01-16:42:16
1.0,5.0,25.0,30.0,6.0,20.0,1.0,50.0,0.0,1.0,1.0,1.0,0.9025436639785767,1.017739785835147,2025-12-01-16:42:16
1.0,4.200000062584877,25.0,30.0,6.0,20.0,9.0,40.0,12.0,9.0,2.0,1.0,0.9857754232361913,1.004693829920143,2025-12-01-16:42:24
19.0,0.9000000134110451,35.0,14.0,3.0,20.0,20.0,20.0,7.0,3.0,3.0,1.0,0.9651238657534122,1.0317851305007935,2025-12-01-16:42:24
8.0,2.400000035762787,30.0,10.0,6.5,25.0,17.0,30.0,12.0,10.0,1.0,1.0,0.9428403303027153,1.0407542772591114,2025-12-01-16:42:24
1.0,5.0,25.0,28.0,4.0,10.0,4.0,50.0,0.0,9.0,1.0,1.0,0.9392285458743572,1.0132638216018677,2025-12-01-16:42:32
1.0,4.6000000685453415,25.0,30.0,6.0,10.0,14.0,50.0,0.0,9.0,2.0,1.0,0.9889399586245418,1.0091483416035771,2025-12-01-16:42:32
13.0,0.10000000149011612,35.0,1.0,6.0,20.0,5.0,10.0,13.0,4.0,2.0,1.0,0.9291308149695396,1.0198986660689116,2025-12-01-16:42:32
19.0,3.6000000536441803,25.0,30.0,7.0,10.0,1.0,50.0,9.0,1.0,3.0,1.0,0.9387850984930992,1.0259027481079102,2025-12-01-16:42:41
19.0,4.000000059604645,30.0,17.0,5.5,30.0,1.0,50.0,11.0,10.0,1.0,1.0,0.9014551118016243,1.0426397807896137,2025-12-01-16:42:41
16.0,2.1000000312924385,35.0,1.0,7.0,10.0,1.0,20.0,9.0,1.0,1.0,1.0,0.9806207530200481,1.0266143679618835,2025-12-01-16:42:41
